Domain,MBFC,MBFC factual,BF,FC,PF,WI,factual,rating
abcnews.com.co,,,1.0,,imposter,1.0,unknown,imposter
abcnews.live,,,1.0,,,,unknown,BF1
abeldanger.org,CP,mixed,,,,,mixed,conspiracy-pseudoscience
ageofautism.com,CP,low,,,,,low,conspiracy-pseudoscience
ageofshitlords.com,FN,low,,,,,low,fake-news
ahtribune.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
ajuanews.com,FN,very-low,,,,,very-low,fake-news
alabamaobserver.com,FN,low,1.0,,imposter,,low,fake-news
albertatimes.com,,,1.0,,,,unknown,BF1
alertchild.com,,,1.0,,,,unknown,BF1
alhayat.com,FN,mixed,,,,,mixed,fake-news
allenwestrepublic.com,FN,low,,,,,low,fake-news
alternativemediasyndicate.com,FN,mixed,,,,,mixed,fake-news
alternativenewsnetwork.net,CP,mixed,,,,,mixed,conspiracy-pseudoscience
alynews.com,,,1.0,,,,unknown,BF1
amazingnews.net,FN,low,,,,,low,fake-news
americadaily.com,FN,mixed,,,,,mixed,fake-news
americafans.com,FN,low,,,,,low,fake-news
american.news,,,,1.0,,1.0,unknown,FC1
americanflavor.news,FN,very-low,1.0,,fake-news,,very-low,fake-news
americanintelligencereport.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
americannews.com,,,,,fake-news,,unknown,fake-news
americanpeoplenetwork.com,FN,very-low,,,fake-news,,very-low,fake-news
americanpoliticnews.co,,,,,fake-news,,unknown,fake-news
americanpresident.co,,,,,fake-news,,unknown,fake-news
americanprides.com,,,,1.0,,,unknown,FC1
americanprides.org,FN,low,,,,,low,fake-news
americansarepissed.com,FN,low,,,,,low,fake-news
americantoday.news,FN,low,,,,,low,fake-news
americantoday.us,,,,,fake-news,,unknown,fake-news
americantruthseekers.com,FN,low,,,,,low,fake-news
americanupdater.com,FN,low,,,,,low,fake-news
americasfrontlinedoctors.com,CP,low,,,,,low,conspiracy-pseudoscience
americaslastlineofdefense.org,,,1.0,1.0,,1.0,unknown,BF1
americasnewssource.com,FN,very-low,,,,,very-low,fake-news
americatalks.com,FN,very-low,,,,,very-low,fake-news
amposts.com,,,,,fake-news,,unknown,fake-news
anews-24.com,FN,very-low,,1.0,,,very-low,fake-news
anews24.org,,,,,fake-news,,unknown,fake-news
angrypatriotmovement.com,FN,very-low,,,fake-news,,very-low,fake-news
anonjekloy.tk,,,,,fake-news,,unknown,fake-news
anotherdayintheempire.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
answersingenesis.org,CP,low,,,,,low,conspiracy-pseudoscience
antinews.com,,,,,fake-news,,unknown,fake-news
antinewsnetwork.com,CP,low,,,,,low,conspiracy-pseudoscience
areyousleep.com,,,1.0,,,,unknown,BF1
armyusanews.com,,,,,fake-news,,unknown,fake-news
asamericanasapplepie.org,,,,1.0,parody,,unknown,parody
asheepnomore.net,CP,low,,,,,low,conspiracy-pseudoscience
associatedmediacoverage.com,,,1.0,,parody,,unknown,parody
attitude.co.uk,,,,,some-fake,,unknown,some-fake
aurora-news.us,FN,mixed,,,imposter,,mixed,fake-news
awdnews.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
badcriminals.com,,,1.0,,,,unknown,BF1
baldwinpost.com,,,1.0,,,,unknown,BF1
baltimoregazette.com,,,1.0,,,,unknown,BF1
bannedinformation.com,FN,mixed,,1.0,,,mixed,fake-news
beaware.one,FN,low,,,,,low,fake-news
bestthings.us,,,,,some-fake,,unknown,some-fake
bigbluevision.org,FN,low,,,,,low,fake-news
bizstandardnews.com,,,1.0,,,1.0,unknown,BF1
bjreview.com,FN,mixed,,,,,mixed,fake-news
blackinsurancenews.com,,,,,some-fake,,unknown,some-fake
blackpigeonspeaks.com,FN,low,,,,,low,fake-news
bloodandsoil.org,FN,low,,,,,low,fake-news
bloomberg.ma,,,,,,1.0,unknown,unknown
bluedotdaily.com,FN,mixed,,,,,mixed,fake-news
blueinformer.com,FN,low,,,,,low,fake-news
bluelinestrong.net,,,,,some-fake,,unknown,some-fake
bluetribune.com,FN,low,,,,,low,fake-news
bluevision.news,FN,low,,,fake-news,,low,fake-news
bluevisionpost.com,FN,low,,1.0,fake-news,,low,fake-news
borderherald.com,,,1.0,,,,unknown,BF1
borderlandalternativemedia.com,FN,low,,,,,low,fake-news
boston-post.com,,,1.0,,,,unknown,BF1
bostontribune.com,,,,,parody,1.0,unknown,parody
breaking-cnn.com,,,1.0,,,1.0,unknown,BF1
breakingnewsblast.com,,,,,fake-news,,unknown,fake-news
breakingnewshouse.com,FN,low,,,,,low,fake-news
breakingtop.world,FN,very-low,,1.0,fake-news,,very-low,fake-news
breakthrough.holylandnutrition.com,CP,low,,,,,low,conspiracy-pseudoscience
britainfirst.tv,FN,low,,,,,low,fake-news
buzzfeedusa.com,,,,,fake-news,,unknown,fake-news
cartelpress.com,,,1.0,,,,unknown,BF1
cartelreport.com,,,1.0,,,,unknown,BF1
cbinfo24.com,,,,1.0,,,unknown,FC1
cbn.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
cbsnews.com.co,FN,very-low,,,,1.0,very-low,fake-news
cbsnews10.com,,,1.0,,,,unknown,BF1
